refseq,gene,exons,8N,8T,33N,33T,51N,51T,mapping_status
NM_001040709,SYPL2,6,234,0,171,5,734,80,selected
NM_177531,PKHD1L1,78,50,0,51,0,192,11,selected
NM_001712,CEACAM1,9,394,2,220,88,278,13,selected
NM_001024912,CEACAM1,8,392,2,220,87,277,13,redundant_transcript
NM_016300,ARPP-21,20,302,0,194,6,738,96,selected
NM_001159,AOX1,35,252,1,117,45,2019,56,selected
NM_007191,WIF1,10,80,41,208,7,76,2,selected
NM_001460,FMO2,10,887,4,2007,157,1175,75,selected
NM_001858,COL19A1,51,78,5,928,10,765,49,selected
NM_173629,C18orf26,3,233,1,214,28,237,0,selected
NM_015429,ABI3BP,35,348,2,322,31,2763,104,selected
NM_004543,NEB,149,33001,284,29456,305,126265,18235,selected
NM_004734,DCLK1,18,166,0,375,38,2033,136,selected
NM_002016,FLG,3,343,91,3180,134,713,0,selected
NM_003275,TMOD1,9,220,1,254,2,1733,221,selected
NM_080874,ASB5,7,424,0,489,20,4276,380,selected
NM_001039585,PTGFR,4,455,7,287,12,1736,46,selected
NM_004997,MYBPH,11,257,34,545,16,7098,489,selected
NM_000959,PTGFR,3,455,7,283,12,1735,45,redundant_transcript
NM_194293,XIRP1,2,1177,6,474,21,2844,442,selected
NM_000069,CACNA1S,44,423,3,684,8,1813,216,selected
NM_001080116,LDB3,8,564,9,480,4,975,67,redundant_transcript
NM_152393,KBTBD5,6,105,0,142,1,538,75,selected
NM_004320,ATP2A1,23,988,25,1558,52,2285,161,selected
NM_173201,ATP2A1,22,978,25,1552,52,2265,161,redundant_transcript
NM_138430,ADPRHL1,7,149,0,169,7,163,58,selected
NM_001927,DES,9,9583,91,6706,142,83497,6658,selected
NM_002036,DARC,2,582,5,94,21,1053,52,selected
NM_006025,P11,9,582,5,868,73,456,28,selected
NM_001232,CASQ2,11,561,5,949,23,3772,599,selected
NM_000347,SPTB,31,2275,31,824,43,12290,876,redundant_transcript
NM_001024858,SPTB,35,2958,31,999,131,15499,1121,selected
NM_172113,EYA2,16,208,0,149,7,126,51,redundant_transcript
NM_152451,GCOM1,12,270,8,732,36,489,35,redundant_transcript
NM_172111,EYA2,16,209,0,144,7,124,52,redundant_transcript
NM_002084,GPX3,5,1756,19,1481,160,4981,253,selected
NM_172112,EYA2,16,209,0,143,7,124,51,redundant_transcript
NM_005244,EYA2,16,208,0,143,7,125,51,selected
NM_001018100,GCOM1,13,273,8,735,36,490,36,redundant_transcript
NM_007351,MMRN1,8,200,9,74,2,483,36,selected
NM_001122951,DARC,1,512,5,84,20,938,41,redundant_transcript
NM_003970,MYOM2,37,219,0,295,30,1168,90,selected
NM_003282,TNNI2,6,361,1,770,44,1548,139,selected
NM_152380,TBX15,8,242,0,184,10,1204,207,selected
NM_001114974,SMTNL2,8,264,13,132,7,1107,62,selected
NM_182493,MYLK3,13,330,12,204,2,287,22,selected
NM_000334,SCN4A,24,491,1,228,16,1614,128,selected
NM_024025,DUSP26,4,84,0,122,0,454,51,selected
NM_172110,EYA2,16,195,0,128,7,124,50,redundant_transcript
NM_198501,SMTNL2,8,239,13,126,7,1048,58,redundant_transcript
NM_153610,CMYA5,13,6518,77,4615,166,29197,5087,selected
NM_032735,BEST3,10,157,4,102,2,1572,126,selected
NM_079422,MYL1,7,1317,15,2514,12,3854,479,redundant_transcript
NM_024875,SYNPO2L,2,431,1,823,53,2533,306,redundant_transcript
NM_007356,LAMB4,34,491,5,1304,129,291,13,selected
NM_001114133,SYNPO2L,4,504,1,944,62,2963,381,selected
NM_000615,NCAM1,18,174,1,177,11,1273,187,redundant_transcript
NM_181351,NCAM1,19,174,1,177,11,1273,187,redundant_transcript
NM_020297,ABCC9,38,462,51,383,24,2927,238,redundant_transcript
NM_001128933,SYNPO2,4,4721,57,4452,154,30427,4030,redundant_transcript
NM_002725,PRELP,3,450,2,190,41,597,48,selected
NM_007168,ABCA8,38,482,25,418,29,1760,110,selected
NM_079420,MYL1,7,1281,15,2499,12,3505,469,selected
NM_019060,CRCT1,2,1166,170,4494,334,1499,102,selected
NM_001114086,CLIC5,6,469,7,274,0,1361,113,selected
NM_001128934,SYNPO2,5,2696,34,2170,76,15941,2017,selected
NM_145791,MGST1,4,152,1,494,143,200,5,redundant_transcript
NM_133477,SYNPO2,5,2742,35,2278,81,15718,1960,redundant_transcript
NM_201348,PRELP,3,447,2,183,40,570,47,redundant_transcript
NM_138805,FAM3D,10,343,22,152,11,278,0,selected
NM_003673,TCAP,2,3626,47,2499,36,5782,1188,selected
NM_145764,MGST1,4,150,1,492,143,192,5,selected
NM_145792,MGST1,4,150,1,492,143,192,5,redundant_transcript
NM_001111283,IGF1,5,460,25,343,26,4703,257,selected
NM_000618,IGF1,4,460,25,343,26,4691,257,redundant_transcript
NM_145064,STAC3,12,675,8,651,46,3148,293,selected
NM_020844,C8orf79,5,143,1,237,42,521,42,selected
NM_001018116,MURC,2,282,3,352,19,2015,210,selected
NM_001127699,SPINK5,28,7900,827,10375,882,4985,107,redundant_transcript
NM_017933,PID1,4,62,20,58,4,303,17,selected
NM_024557,RIC3,6,87,0,129,24,163,13,selected
NM_015225,PRUNE2,19,1396,19,2463,72,18565,2009,selected
NM_001080400,KIAA1881,6,557,7,239,139,1146,30,selected
NM_001098814,SRL,6,824,11,654,38,2097,198,selected
NM_000697,ALOX12,14,380,318,2860,243,643,5,selected
NM_001449,FHL1,7,4230,61,4381,206,17928,1673,selected
NM_033439,IL33,7,701,7,311,84,872,74,selected
NM_003281,TNNI1,8,2480,36,1859,47,12158,1598,selected
NM_000427,LOR,2,262,1693,79,6,88,1,selected
NM_019105,TNXB,44,1655,24,1985,184,5707,317,selected
NM_001647,APOD,5,322,0,273,23,503,76,selected
NM_001127698,SPINK5,34,10209,923,14029,1225,6474,130,selected
NM_006846,SPINK5,33,10119,923,13910,1213,6380,127,redundant_transcript
NM_016929,CLIC5,6,481,7,283,0,1406,121,redundant_transcript
NM_001042,SLC2A4,11,250,1,137,13,344,29,selected
NM_001099677,C8orf79,2,130,1,204,34,491,40,redundant_transcript
NM_000727,CACNG1,4,64,0,91,0,338,62,selected
NM_001008539,SLC7A2,11,555,8,550,401,2368,173,redundant_transcript
NM_001100818,PID1,3,58,20,56,4,268,17,redundant_transcript
NM_001111284,IGF1,4,431,25,303,26,4374,243,redundant_transcript
NM_152336,AGBL1,24,122,1,90,0,622,83,selected
NM_006757,TNNT3,16,1123,60,3973,102,9075,802,redundant_transcript
NM_001042782,TNNT3,15,1123,60,3973,102,9068,802,redundant_transcript
NM_001042781,TNNT3,16,1123,60,3973,102,9068,802,selected
NM_005691,ABCC9,38,372,17,317,24,2320,204,selected
NM_003046,SLC7A2,12,547,8,566,392,2377,175,selected
NM_000702,ATP1A2,23,1148,18,1129,46,3323,443,selected
NM_001042780,TNNT3,15,1114,60,3932,102,8957,798,redundant_transcript
NM_020298,ABCC9,37,365,17,313,24,2282,203,redundant_transcript
NM_178233,OTOP3,7,119,1,113,62,97,0,selected
NM_001005746,CACNB4,14,123,1,178,31,100,8,redundant_transcript
NM_003005,SELP,17,122,1,85,7,676,70,selected
NM_000900,MGP,4,130,0,168,15,611,155,selected
NM_001958,EEF1A2,8,378,23,492,27,2032,181,selected
NM_000726,CACNB4,14,120,1,178,31,99,8,selected
NM_005963,MYH1,40,286,4,1723,16,4336,627,selected
NM_001135196,C10orf71,3,506,8,355,13,1634,252,redundant_transcript
NM_001830,CLCN4,13,136,0,113,10,463,138,selected
NM_024574,C4orf31,4,145,1,102,9,140,37,selected
NM_144777,SCEL,33,3912,263,7393,701,2361,216,selected
NM_080282,ABCA10,40,276,1,517,50,747,113,selected
NM_031469,SH3BGRL2,4,881,41,1241,74,1071,98,selected
NM_003843,SCEL,32,3895,263,7259,695,2326,215,redundant_transcript
NM_020379,MAN1C1,12,116,1,105,68,333,30,selected
NM_138569,C6orf142,13,97,1,116,1,322,38,selected
NM_003012,SFRP1,3,1309,8,992,100,3116,648,selected
NM_003248,THBS4,23,1107,22,2949,301,9704,1799,selected
NM_014031,SLC27A6,11,156,1,465,47,73,7,selected
NM_025170,PREX2,24,143,2,223,14,634,106,redundant_transcript
NM_014476,PDLIM3,8,1891,39,1996,66,10018,1136,selected
NM_173352,KRT78,9,3408,166,6158,653,3224,82,selected
NM_001039523,CHRNA1,10,93,1,481,9,1415,136,selected
NM_000079,CHRNA1,9,93,1,481,9,1396,136,redundant_transcript
NM_003613,CILP,9,515,0,395,42,1018,253,selected
NM_014289,CAPN6,13,194,0,288,47,263,24,selected
NM_033427,CTTNBP2,23,741,5,1074,226,389,36,selected
NM_001458,FLNC,48,5275,117,3185,146,36866,3700,selected
NM_001127487,FLNC,47,5274,117,3185,146,36836,3697,redundant_transcript
NM_014951,ZNF365,5,93,1,531,57,421,218,selected
NM_001148,ANK2,46,574,12,578,143,2457,146,redundant_transcript
NM_000150,FUT6,3,306,6,213,46,223,6,selected
NM_007365,PADI2,16,976,23,1038,31,5429,522,selected
NM_013999,MEOX1,2,89,62,121,9,518,49,redundant_transcript
NM_015687,FILIP1,6,173,10,230,25,1242,113,selected
NM_001127493,ANK2,47,475,10,438,92,2080,116,selected
NM_001003793,RBMS3,15,172,3,105,9,459,130,selected
NM_000901,NR3C2,9,171,1,167,18,265,58,selected
NM_005060,RORC,11,172,3,119,69,367,20,selected
NM_006790,MYOT,10,769,17,626,4,2205,387,redundant_transcript
NM_020977,ANK2,45,472,10,438,92,2086,114,redundant_transcript
NM_002825,PTN,5,256,5,504,177,70,2,selected
NM_153236,GIMAP7,2,63,3,87,2,289,27,selected
NM_199168,CXCL12,3,545,23,685,80,3967,311,redundant_transcript
NM_152439,BEST3,6,128,4,64,0,1094,106,redundant_transcript
NM_001040002,MEOX1,4,88,62,122,11,521,50,selected
NM_133265,AMOT,12,786,2,551,64,2275,298,selected
NM_012464,TLL1,21,127,2,68,3,224,426,selected
NM_001017372,SLC27A6,10,161,1,489,57,79,7,redundant_transcript
NM_001001523,RORC,10,168,3,118,68,364,21,redundant_transcript
NM_001003792,RBMS3,14,166,3,102,9,440,129,redundant_transcript
NM_001113490,AMOT,11,842,1,554,66,2386,312,redundant_transcript
NM_173833,SCARA5,9,242,5,181,16,1151,159,selected
NM_002479,MYOG,3,201,4,307,10,2715,301,selected
NM_004527,MEOX1,3,90,62,124,12,528,52,redundant_transcript
NM_000949,PRLR,10,239,5,234,20,129,44,selected
NM_024721,ZFHX4,11,275,1,287,35,690,349,selected
NM_001040701,FUT6,2,271,6,209,43,200,6,redundant_transcript
NM_006639,CYSLTR1,3,160,0,63,7,54,17,selected
NM_001122659,EDNRB,7,114,2,58,10,808,58,selected
NM_032866,CGNL1,19,843,21,1106,97,909,106,selected
NM_001042723,RYR1,105,3067,129,3337,287,20564,2086,redundant_transcript
NM_000540,RYR1,106,3067,129,3337,287,20564,2086,selected
NM_130759,GIMAP1,3,58,2,67,3,294,29,selected
NM_005276,GPD1,8,185,5,177,22,258,20,selected
NM_001130861,CLDN5,1,222,5,84,23,998,76,redundant_transcript
NM_001364,DLG2,23,79,1,92,11,106,16,selected
NM_001097589,SPRR3,2,41641,1131,48450,7733,30857,45,redundant_transcript
NM_001135109,RIC3,2,75,0,114,20,135,13,redundant_transcript
NM_001005747,CACNB4,13,121,1,182,34,95,9,redundant_transcript
NM_002343,LTF,17,182,4,109,48,488,21,selected
NM_005416,SPRR3,3,41809,1155,49781,8036,31185,45,selected
NM_001113561,RNF180,8,99,1,133,17,152,52,selected
NM_003277,CLDN5,2,215,5,81,23,983,75,selected
NM_002152,HRC,6,175,16,217,1,806,84,selected
NM_015204,THSD7A,27,104,2,72,24,460,45,selected
NM_014483,RBMS3,13,149,2,72,9,339,102,redundant_transcript
NM_001129907,FLJ41562,4,405,11,903,138,247,3,selected
NM_001135940,MYOT,10,598,17,440,3,1652,285,selected
NM_198215,FAM13C1,14,173,1,211,29,339,56,selected
NM_004006,DMD,79,1367,28,1316,186,5731,1026,redundant_transcript
NM_006210,PEG3,10,150,15,2594,367,1223,66,selected
NM_015278,SASH1,20,1818,123,2423,342,3316,309,selected
NM_001114107,PDLIM3,7,1302,39,1559,75,8322,887,redundant_transcript
NM_015086,DDN,2,154,1,100,23,1999,213,selected
NM_003568,ANXA9,14,124,14,90,12,70,5,selected
NM_000336,SCNN1B,13,170,115,363,51,275,5,selected
NM_001025231,KPRP,2,211,16,928,133,442,16,selected
NM_000450,SELE,14,390,10,312,78,2049,219,selected
NM_020478,ANK1,5,173,78,247,35,493,51,redundant_transcript
NM_080284,ABCA6,39,384,19,366,52,1633,171,selected
NM_019856,MYOM1,37,1012,32,773,25,2232,243,redundant_transcript
NM_003803,MYOM1,38,1016,32,773,25,2238,245,selected
NM_004010,DMD,79,1357,28,1283,186,5657,1010,redundant_transcript
NM_004009,DMD,79,1357,28,1283,186,5666,1010,redundant_transcript
NM_000109,DMD,79,1352,28,1282,186,5618,1009,selected
NM_144573,NEXN,13,361,11,501,20,2639,546,selected
NM_205853,MUSTN1,3,150,4,373,14,994,187,selected
NM_031426,AIF1L,6,719,23,1193,229,1173,89,selected
NM_173054,RELN,64,172,13,101,14,535,56,redundant_transcript
NM_005045,RELN,65,172,13,101,14,535,56,selected
NM_001034957,SORBS1,22,680,22,416,60,2356,328,redundant_transcript
NM_001030060,SAMD5,2,520,3,559,167,335,36,selected
NM_006252,PRKAA2,9,463,15,470,42,2677,314,selected
NM_201631,TGM5,13,313,10,201,179,188,15,selected
NM_024991,SORBS1,26,691,22,429,63,2424,333,redundant_transcript
NM_007177,FAM107A,5,196,6,87,45,319,18,selected
NM_001076778,FAM107A,4,193,6,87,45,319,18,redundant_transcript
NM_006434,SORBS1,21,668,22,406,60,2323,321,redundant_transcript
NM_001076682,NCAM1,19,187,6,223,4,1677,288,selected
NM_006895,HNMT,6,107,3,321,40,342,69,selected
NM_139212,HOPX,3,1830,365,3374,510,1711,74,redundant_transcript
NM_000898,MAOB,15,74,26,164,24,172,18,selected
NM_032495,HOPX,4,1879,388,3441,524,1763,74,selected
NM_016321,RHCG,11,8518,1012,16167,2468,7605,820,selected
NM_139211,HOPX,3,1800,357,3322,508,1703,76,redundant_transcript
NM_012298,CAND2,13,195,15,189,9,690,78,selected
NM_004731,SLC16A7,5,337,12,261,168,752,76,selected
NM_020480,ANK1,3,162,78,233,35,467,50,redundant_transcript
NM_004274,AKAP6,14,879,33,502,142,7795,821,selected
NM_001034954,SORBS1,31,851,32,504,70,3096,408,selected
NM_004245,TGM5,12,283,10,192,160,181,15,redundant_transcript
NM_001058,TACR1,5,115,0,50,7,68,14,selected
NM_004657,SDPR,2,213,19,312,48,447,38,selected
NM_001034956,SORBS1,28,710,28,430,60,2499,344,redundant_transcript
NM_031948,PRSS27,6,684,27,416,89,578,29,selected
NM_139345,BIN1,16,627,128,526,77,5009,586,redundant_transcript
NM_139344,BIN1,18,632,129,529,81,5061,590,redundant_transcript
NM_178822,IGSF10,6,264,10,220,35,724,78,selected
NM_032608,MYO18B,44,941,107,683,42,4907,575,selected
NM_139349,BIN1,15,625,128,526,77,4985,584,redundant_transcript
NM_139351,BIN1,13,609,128,515,75,4606,542,redundant_transcript
NM_001037339,PDE4B,10,650,25,112,72,3786,444,redundant_transcript
NM_000095,COMP,19,303,2,251,94,570,66,selected
NM_001710,CFB,18,239,9,183,442,1458,163,selected
NM_001034955,SORBS1,31,776,32,469,69,2735,367,redundant_transcript
NM_080737,SYTL4,19,166,6,211,33,242,29,selected
NM_004305,BIN1,15,624,128,526,77,4917,581,redundant_transcript
NM_139350,BIN1,14,624,128,525,77,4912,581,redundant_transcript
NM_002600,PDE4B,17,634,18,106,77,3574,422,redundant_transcript
NM_001037341,PDE4B,17,634,18,106,77,3571,422,selected
NM_001037340,PDE4B,15,634,15,106,79,3560,421,redundant_transcript
NM_000755,CRAT,14,152,24,118,16,605,71,selected
NM_001129896,SYTL4,18,162,6,214,33,247,29,redundant_transcript
NM_153703,PODN,11,506,21,325,54,1644,170,selected
NM_203371,FIBIN,1,109,2,54,8,576,115,selected
NM_001114106,SLC44A3,15,56,1,60,9,105,36,selected
NM_001937,DPT,4,292,12,332,32,1129,151,selected
NM_001080437,SNED1,32,788,34,345,159,2753,150,selected
NM_001003818,TRIM6,8,66,2,71,9,28,82,selected
NM_015385,SORBS1,25,730,32,436,72,2549,341,redundant_transcript
NM_004100,EYA4,20,65,2,69,10,235,42,selected
NM_172103,EYA4,19,65,2,69,10,232,42,redundant_transcript
NM_002126,HLF,4,520,23,765,479,377,31,selected
NM_024870,PREX2,40,299,13,338,26,1008,218,selected
NM_020811,ATPGD1,9,84,3,124,28,546,33,selected
NM_139346,BIN1,16,668,142,535,91,5076,603,redundant_transcript
NM_139347,BIN1,16,669,142,535,91,5144,606,redundant_transcript
NM_005161,APLNR,1,201,26,401,68,2798,222,selected
NM_003991,EDNRB,7,63,2,49,9,541,40,redundant_transcript
NM_006006,ZBTB16,7,84,6,54,4,805,97,redundant_transcript
NM_004816,C9orf61,11,105,4,168,33,250,29,redundant_transcript
NM_172105,EYA4,20,62,2,69,10,245,36,redundant_transcript
NM_001127608,C9orf61,11,104,4,168,33,250,29,selected
NM_152487,TMEM56,7,82,3,172,12,157,39,selected
NM_139348,BIN1,15,668,142,534,91,5071,603,redundant_transcript
NM_005656,TMPRSS2,14,123,6,399,44,137,16,selected
NM_207361,FREM2,24,211,0,312,1136,1224,150,selected
NM_001795,CDH5,12,330,76,322,55,2578,281,selected
NM_001128310,SPARCL1,12,820,39,939,132,2786,628,selected
NM_004684,SPARCL1,11,820,39,938,132,2775,627,redundant_transcript
NM_001014450,SPRR2F,2,113,67,159,27,586,44,selected
NM_001018011,ZBTB16,7,84,5,54,4,785,97,selected
NM_173648,CCDC141,13,64,3,73,12,407,27,selected
NM_003042,SLC6A1,16,411,32,123,21,271,22,selected
NM_005159,ACTC1,7,704,34,1587,22,6425,1120,selected
NM_003480,MFAP5,10,127,25,188,21,1290,161,selected
NM_198582,KLHL30,7,146,0,141,141,1152,143,selected
NM_139343,BIN1,19,676,143,538,95,5220,612,selected
NM_152369,SLC44A3,14,58,1,55,9,93,34,redundant_transcript
NM_080826,C20orf82,6,71,10,120,4,246,30,selected
NM_001003760,KLHL31,3,253,12,636,33,1751,296,selected
NM_080283,ABCA9,39,250,7,244,43,918,126,selected
NM_001099772,CYP4B1,12,124,94,110,19,55,3,redundant_transcript
NM_000779,CYP4B1,12,124,94,110,19,55,3,selected
NM_024582,FAT4,17,962,54,623,103,3425,434,selected
NM_000104,CYP1B1,3,463,23,181,194,3262,289,selected
NM_016841,MAPT,9,289,14,190,10,557,104,redundant_transcript
NM_016834,MAPT,10,289,14,190,10,558,104,redundant_transcript
NM_058166,TRIM6,8,57,2,71,9,28,81,redundant_transcript
NM_003734,AOC3,4,161,20,186,33,1075,73,selected
NM_000092,COL4A4,48,85,38,153,13,750,96,selected
NM_017549,EPDR1,3,74,23,157,17,505,64,selected
NM_006209,ENPP2,26,97,4,195,35,866,163,redundant_transcript
NM_000064,C3,41,2587,136,1731,512,10722,1380,selected
NM_006194,PAX9,5,1434,60,1472,470,1174,150,selected
NM_003243,TGFBR3,17,703,63,735,134,1436,75,selected
NM_144994,ANKRD23,9,3341,177,1398,132,5677,1293,selected
NM_022159,ELTD1,15,244,12,198,31,911,179,selected
NM_001040272,ADAMTSL1,29,55,2,88,19,367,33,selected
NM_198827,GPR133,25,157,8,129,23,629,50,selected
NM_001130863,ENPP2,26,92,4,193,35,865,160,selected
NM_020778,ALPK3,14,962,32,678,142,7739,1000,selected
NM_001819,CHGB,5,87,13,90,16,3175,242,selected
NM_022307,ICA1,14,54,0,73,13,123,28,redundant_transcript
NM_000186,CFH,22,1082,30,916,175,2546,608,selected
NM_003245,TGM3,13,25839,1503,23212,4477,12766,64,selected
NM_198578,LRRK2,51,610,25,658,126,1592,277,selected
NM_001040092,ENPP2,25,90,4,193,35,865,160,redundant_transcript
NM_021110,COL14A1,48,1536,96,1684,329,6828,621,selected
NM_014880,CD302,6,231,11,197,38,652,143,selected
NM_000777,CYP3A5,13,194,5,568,111,67,22,selected
NM_006614,CHL1,28,748,154,1096,217,619,10,selected
NM_001423,EMP1,5,12389,2293,22143,1927,16890,2250,selected
NM_016835,MAPT,14,314,17,209,12,622,118,redundant_transcript
NM_001123066,MAPT,15,314,17,209,12,622,118,selected
NM_012446,SSBP2,17,142,5,211,42,321,108,selected
NM_002477,MYL5,7,71,0,136,27,121,63,selected
NM_199511,CCDC80,8,1291,102,1190,244,10637,938,selected
NM_002206,ITGA7,25,860,136,924,166,6722,911,selected
NM_014033,METTL7A,2,716,144,1005,142,1337,181,selected
NM_139125,MASP1,11,57,1,54,25,683,92,selected
NM_199512,CCDC80,8,1143,91,1006,208,9628,809,redundant_transcript
NR_003062,SPRR2C,2,161,41,192,39,204,5,selected
NM_032961,PCDH10,5,67,3,66,25,69,0,selected
NM_000423,KRT2,9,87,32,89,4,79,10,selected
NM_001131005,MEF2C,11,1113,65,2206,87,6772,1279,selected
NM_145728,SYNM,4,1236,74,776,100,4754,864,redundant_transcript
NM_020433,JPH2,6,411,24,185,38,1807,286,selected
NM_144632,TMEM182,5,184,36,289,61,652,88,selected
NM_000722,CACNA2D1,39,278,16,386,179,1293,160,selected
NM_001080952,PLAGL1,7,397,22,867,185,1064,184,redundant_transcript
NM_021219,JAM2,10,85,8,82,4,243,33,selected
NM_012317,LDOC1,1,81,4,74,65,106,8,selected
NM_001126132,TNNT1,14,1538,94,1825,226,4433,772,selected
NM_001126133,TNNT1,13,1538,94,1814,226,4428,771,redundant_transcript
NM_015286,SYNM,5,1220,74,758,97,4556,822,selected
NM_001123067,MAPT,11,291,17,195,10,572,111,redundant_transcript
NM_005910,MAPT,12,291,17,195,10,572,112,redundant_transcript
NM_001080953,PLAGL1,7,395,22,833,179,1040,183,redundant_transcript
NM_006718,PLAGL1,7,397,22,866,185,1057,184,redundant_transcript
NM_014644,PDE4DIP,44,3363,207,2620,401,14733,2622,selected
NM_003283,TNNT1,14,1538,96,1828,226,4437,774,redundant_transcript
NR_003221,SNORD114-28,1,152,50,1394,302,1733,208,selected
NM_001040114,MYH11,42,428,32,468,49,1271,180,redundant_transcript
NM_001040113,MYH11,43,428,32,468,49,1272,180,selected
NM_002474,MYH11,41,428,32,468,49,1271,180,redundant_transcript
NM_022844,MYH11,42,428,32,468,49,1272,180,redundant_transcript
NM_001400,S1PR1,2,250,23,176,25,1175,166,selected
NM_004012,DMD,51,704,26,768,168,3106,643,redundant_transcript
NM_004011,DMD,51,704,26,768,168,3106,643,redundant_transcript
